PID,POSTTIME,CITY,STATE,MAKE,MODEL,PRICE,YEAR,MILES,URL,TITLE,ATTR,IMGLINK,MESSAGE,PRICEPRED
6195584350,2017-06-27 15:46,sfbay,CA,chrysler,300,7800,2005,147000,https://sfbay.craigslist.org/sby/cto/d/chrysler-limited/6195584350.html,chrysler 300 limited,condition: good#cylinders: 6 cylinders#drive: rwd#fuel: gas#odometer: 147000#paint color: custom#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/01212_bwPecHpL0eg_600x450.jpg,7800 obo. for sale chrysler 300 limited. good condition; everything runs perfect. ac; 22 ruins. new tires; nice sound system. clean title. for more info. call me or text me. hablo espaol. phone.#show contact info,6589.30582515
6177087701,2017-07-10 10:48,sfbay,CA,chrysler,300,18999,2007,69000,https://sfbay.craigslist.org/sby/cto/d/chrysler-srt-miles/6177087701.html,2007 chrysler 300c srt8 69k miles,condition: excellent#cylinders: 8 cylinders#drive: rwd#fuel: gas#odometer: 69000#paint color: custom#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00A0A_2rToLgJadb5_600x450.jpg,2007 chrysler 300 srt8#6.1l hemi v8#69k low miles#clean title#navigation system#equipped with dual heated and power seats#parking sensors#cruise control#traction control#premium sound system#auxiliary mp3#satellite#plenty of tread left on tires#2 keys#customs/aftermarket:#black cherry paint (three months old) $9k#panoramic roof $8k#hid lights $1k- head lights; fog lights; reverse lights; license plate; interior#exhaust $1k#powdered coated rims $500#5% tint throughout $400#k&n cold air intake $400#mp3 aux $300#grille $150#desi -#show contact info#camaro; camaro ss; camaro zl1; zl1; zr1; z28; z06; ss; gtr; hellcat; gt350; chevy; chevy camaro; ss camaro; shelby; mustang; cobra; srt8; charger; challenger,17541.3668149
6196531035,2017-07-06 15:09,sfbay,CA,chrysler,300,4500,2005,160000,https://sfbay.craigslist.org/eby/cto/d/chrysler/6196531035.html,2005 chrysler 300,fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/01515_dM7ZDMvhPa2_600x450.jpg,i am selling my 2006 chrysler 300 for 4;500 obo willing to negotiate. but no low ballers.  selling because i currently am commuting to and from work.  there is nothing wrong with the car; car works perfectly fine. i would not be selling the car if i didnt have to commute. car has 160xxx miles inside is clean; out side is clean. no dents clean title; ac and heater work. huge trunk. back seats go down. car is very well kept up inside and out and under the hood. please do not waste my time.,5227.00814572
6215557754,2017-07-22 15:05,sfbay,CA,chrysler,300,25000,2006,38000,https://sfbay.craigslist.org/eby/cto/d/chrysler-inch-limo-only-miles/6215557754.html,chrysler 300 140 inch limo only 38k miles,fuel: gas#odometer: 38000#title status: clean#transmission: automatic,https://images.craigslist.org/00m0m_bX6UszYpE9y_600x450.jpg,2006 chrysler 300 stretch limousine#140 inch 10 passengers#only 38;000 miles- basically your buying a new limo for 1/4 of the price#excellent condition#runs like new#key turn- ready to make money#please contact if interested#no low ballers; no offers#$25;000 firm;#707-342-601 zero#i do not need help selling; no scammers; no shipping; no paypal,16360.0839992
6215208812,2017-07-11 14:29,sfbay,CA,chrysler,300,4500,2005,160000,https://sfbay.craigslist.org/eby/cto/d/chrysler/6215208812.html,2005 chrysler 300,fuel: gas#title status: clean#transmission: automatic,https://images.craigslist.org/01515_iUYyEMfQwOj_600x450.jpg,hello cl i am selling my 2005 chrysler 300 v6 3.5 engine for 4;500 obo.#this car is in great shape inside and out and has 160xxx miles.#clean title !#car is wired for speakers and amp.#ac & heater work.#car is well taken care of under the hood.#tires are good as you can see has nice rims.#the reason i am selling my car is because i have a commune to and from work and i am downgrading to a 4 cylinder#( i am not open for trades)#i have the pink i slip in hand.#please dont waste my time.#925-seven26-658two,4772.46646518
6180483945,2017-07-13 21:40,sfbay,CA,chrysler,300,4800,2005,125000,https://sfbay.craigslist.org/eby/cto/d/clean-chrysler-with-free-rims/6180483945.html,clean chrysler 300 with free rims,fuel: gas#odometer: 125000#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00k0k_aZ6PsLjOwOI_600x450.jpg,clean title#125xxx#v6 3.5l#new tires#runs strong#passes smog#clean interior#leather seats#22 rims#the only thing wrong with the car is that that i hit a curb and one of the rims got hit and it dent then later it cracked a little bit i think you can weld it. if you dont think its worth it i will be willing to throw in another set of rims for free 20.#obo#show contact info#need gone before the end of month because i will be busy with work.,5920.87715692
6225250856,2017-07-18 11:40,sfbay,CA,chrysler,300,1150,1999,195000,https://sfbay.craigslist.org/sby/cto/d/chrysler-orig-smog-runs-gd/6225250856.html,1999 chrysler 300 195k orig; smog; v6 runs gd;,fuel: gas#odometer: 195000#title status: clean#transmission: automatic,https://images.craigslist.org/00r0r_u5y9SrXRHl_600x450.jpg,my chrysler is running great. its a. dry reliable daily driving car. i have had it over 6 years. i recently bought truck is reason im selling.   body good shape. interior food shape.  recent smog.  clean title.  new tires.  cold air condition.#show contact info#1150.00 firm price,2276.6966531
6192911651,2017-07-01 09:22,sfbay,CA,chrysler,300,7500,2008,89000,https://sfbay.craigslist.org/sby/cto/d/chrysler/6192911651.html,2008 chrysler 300,condition: excellent#cylinders: 6 cylinders#fuel: gas#odometer: 89000#paint color: black#size: full-size#title status: clean#transmission: automatic,https://images.craigslist.org/01414_5lk2Oq9skIa_600x450.jpg,selling 2008 chrysler 300 2.7l has 89;xxx miles. 22 wheels. 3/4 wheels are brand new; one will need to be replaced. oil changed on a regular basis. runs smooth; no check engine light. registered till september. located in los banos#scammers will call but will not be taken serious. all serious inquiries are more then welcome. no low ballers#thank you#show contact info,7472.59615812
6197362750,2017-07-05 19:24,sfbay,CA,chrysler,300,5500,2005,105000,https://sfbay.craigslist.org/sby/cto/d/chrysler/6197362750.html,2005 chrysler 300,condition: like new#cylinders: 6 cylinders#fuel: gas#odometer: 105000#size: full-size#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/01414_iRgir8GImO2_600x450.jpg,its a 2005 chrysler 300 limited v6 power windows leather sunroof good condition great on gas it has 105;000 miles clean title#asking $5500 obo let me know cash only please give me a call back at#show contact info#thanks luis.,5247.06603611
6203780642,2017-07-03 18:23,sfbay,CA,chrysler,300,6600,2006,133357,https://sfbay.craigslist.org/sby/cto/d/chrysler/6203780642.html,chrysler 300,condition: good#cylinders: 6 cylinders#fuel: gas#odometer: 133357#title status: clean#transmission: automatic#type: sedan,https://images.craigslist.org/00505_1QtveEXJKq2_600x450.jpg,selling my 2006 chrysler 300 . i need a truck so im selling this car . it has 133k miles. very good conditions . rims/grill/rearlights are all.plastic dipped eassy to take off .asking 6;600 obo,5596.54397164
